duty;долг
portion;часть
noodle;лапша
table;стол
complaint;жалоба
rather;наоборот
frustration;расстройство
stuff;штука
freshen;освежать
supplied;предоставленный
following;последующий
toggle;переключатель
accurate;точный
magnitude;величина
increase;возрастать
flavor;атмосфера
provide;снабжать
benchmark;ориентир
fraud;мошенничество
reward;награда
approximately;приблизительно
combination;сочетание
simultaneous;одновременный
experience;чувствовать
alongside;вместе
whilst;пока
awareness;осведомлённость
appropriately;соответствующе
replacing;замена
occasionally;время от времени
outward;наружу
over;на
rare;редкий
fried;жареный
bone;кость
French fries;картофель фри
addict;фанат
addict;человек, имеющий зависимость
practise;практиковаться
frightened;испуганный
filled;наполненный
apart;на расстоянии
encouragement;ободрение 
compassion;сострадание
achieve;достигать
strive;стремиться
sorrow;скорбь
insomnia;бессонница
subconscious;подсознание
scared;напуганный
lonely;одинокий
suspicious;подозрительный
chat;непринуждённо болтать
briefcase;портфель
bother;беспокоиться
agree;соглашаться
election;выборы
champagne;шампанское
seldom;редко
review;пересмотр
builder;создатель
hurt;болеть
electrician;электрик
promise;обещать
requirement;требование
couple;пара
indeed;действительно
fewer;меньше
sweater;свитер
explanation;объяснение
needle;игла 
liquid;жидкость
thirst;жажда
thirsty;жаждущий
urgently;срочно
preparation;подготовка
offering;предложение
eternal;вечный
journey;путешествие
pipe;курительная трубка
plumber;сантехник
generally;как правило
as a whole;в целом
cheer up;взбодриться
business;бизнес
doubt;сомнение
moreover;более того
promotion;повышение 
offer;предлагать
cheer;ободрять
Capricorn;Козерог 
Virgo;Дева
Sagittarius;Стрелец 
library;библиотека
Taurus;Телец 
Gemini;Близнецы 
as well;также
surprise;неожиданность
busy;занятой
Aries;Овен 
Pisces;Рыбы
aquarius;Водолей
silence;тишина
be able to;мочь
violent;яростный
healthier;здоровее
fluently;свободно
fall;падать
climbing;скалолазание
lend;одалживать
idle;незанятый
determination;решение
calculus;камень
within;в пределах 
think;думать
thought;размышление
able;способный 
narrow;узкий
everything;всё
go well;получаться
exciting;захватывающий
arrange;договариваться
arrange;расставлять
occasion;случай
reunion;встреча после разлуки
arrangement;расстановка
extend;расширять
suburb;пригород
suitcase;чемодан
reclaim;возвращать обратно
until;до тех пор пока не
badly;плохо
forecast;прогноз
resistance;сопротивление
sail;плавать
yet;до сих пор
holiday;отпуск
pleasure;удовольствие
terrible;ужасный
arrangement;договорённость
bothered;обеспокоенный 
whatever;всё, что
span;промежуток
pivot;опорная точка
interrupted;прерывистый
introduce;представлять
colleague;коллега
heating;нагревание
equipment;оборудование 
major;основной
